ru,fog,packet_id,created_at_us,fronthaul_latency_us,end_to_end_latency_us
RU:2,Fog:2,28,403.1999999999998,132.20000000000005,204.4000000000001
RU:3,Fog:3,28,403.1999999999998,132.20000000000005,204.4000000000001
RU:0,Fog:0,29,417.5999999999998,132.19999999999993,204.39999999999998
RU:1,Fog:1,29,417.5999999999998,132.19999999999993,204.39999999999998
RU:2,Fog:2,29,417.5999999999998,132.19999999999993,204.39999999999998
RU:3,Fog:3,29,417.5999999999998,132.19999999999993,204.39999999999998
RU:0,Fog:0,30,431.9999999999998,132.20000000000005,204.4000000000001
RU:1,Fog:1,30,431.9999999999998,132.20000000000005,204.4000000000001
RU:2,Fog:2,30,431.9999999999998,132.20000000000005,204.4000000000001
RU:3,Fog:3,30,431.9999999999998,132.20000000000005,204.4000000000001
RU:0,Fog:0,31,446.39999999999975,132.19999999999993,204.39999999999998
RU:1,Fog:1,31,446.39999999999975,132.19999999999993,204.39999999999998
RU:2,Fog:2,31,446.39999999999975,132.19999999999993,204.39999999999998
RU:3,Fog:3,31,446.39999999999975,132.19999999999993,204.39999999999998
RU:0,Fog:0,32,460.7999999999997,132.20000000000005,204.4000000000001
RU:1,Fog:1,32,460.7999999999997,132.20000000000005,204.4000000000001
RU:2,Fog:2,32,460.7999999999997,132.20000000000005,204.4000000000001
RU:3,Fog:3,32,460.7999999999997,132.20000000000005,204.4000000000001
RU:0,Fog:0,33,475.1999999999997,132.19999999999993,204.39999999999998
RU:1,Fog:1,33,475.1999999999997,132.19999999999993,204.39999999999998
RU:2,Fog:2,33,475.1999999999997,132.19999999999993,204.39999999999998
RU:3,Fog:3,33,475.1999999999997,132.19999999999993,204.39999999999998
RU:0,Fog:0,34,489.5999999999997,132.20000000000005,204.4000000000001
RU:1,Fog:1,34,489.5999999999997,132.20000000000005,204.4000000000001
RU:2,Fog:2,34,489.5999999999997,132.20000000000005,204.4000000000001
RU:3,Fog:3,34,489.5999999999997,132.20000000000005,204.4000000000001
RU:0,Fog:0,35,503.99999999999966,132.19999999999993,204.39999999999998
RU:1,Fog:1,35,503.99999999999966,132.19999999999993,204.39999999999998
RU:2,Fog:2,35,503.99999999999966,132.19999999999993,204.39999999999998
RU:3,Fog:3,35,503.99999999999966,132.19999999999993,204.39999999999998
RU:0,Fog:0,36,518.3999999999996,132.20000000000005,204.4000000000001
RU:1,Fog:1,36,518.3999999999996,132.20000000000005,204.4000000000001
RU:2,Fog:2,36,518.3999999999996,132.20000000000005,204.4000000000001
RU:3,Fog:3,36,518.3999999999996,132.20000000000005,204.4000000000001
RU:0,Fog:0,37,532.7999999999996,132.20000000000005,204.4000000000001
RU:1,Fog:1,37,532.7999999999996,132.20000000000005,204.4000000000001
RU:2,Fog:2,37,532.7999999999996,132.20000000000005,204.4000000000001
RU:3,Fog:3,37,532.7999999999996,132.20000000000005,204.4000000000001
RU:0,Fog:0,38,547.1999999999996,132.20000000000005,204.4000000000001
RU:1,Fog:1,38,547.1999999999996,132.20000000000005,204.4000000000001
RU:2,Fog:2,38,547.1999999999996,132.20000000000005,204.4000000000001
RU:3,Fog:3,38,547.1999999999996,132.20000000000005,204.4000000000001
RU:0,Fog:0,39,561.5999999999996,132.20000000000005,204.4000000000001
RU:1,Fog:1,39,561.5999999999996,132.20000000000005,204.4000000000001
RU:2,Fog:2,39,561.5999999999996,132.20000000000005,204.4000000000001
RU:3,Fog:3,39,561.5999999999996,132.20000000000005,204.4000000000001
RU:0,Fog:0,40,575.9999999999995,132.20000000000005,204.4000000000001
RU:1,Fog:1,40,575.9999999999995,132.20000000000005,204.4000000000001
RU:2,Fog:2,40,575.9999999999995,132.20000000000005,204.4000000000001
RU:3,Fog:3,40,575.9999999999995,132.20000000000005,204.4000000000001
RU:0,Fog:0,41,590.3999999999995,132.20000000000005,204.4000000000001
RU:1,Fog:1,41,590.3999999999995,132.20000000000005,204.4000000000001
RU:2,Fog:2,41,590.3999999999995,132.20000000000005,204.4000000000001
RU:3,Fog:3,41,590.3999999999995,132.20000000000005,204.4000000000001
RU:0,Fog:0,42,604.7999999999995,132.20000000000005,204.4000000000001
RU:1,Fog:1,42,604.7999999999995,132.20000000000005,204.4000000000001
RU:2,Fog:2,42,604.7999999999995,132.20000000000005,204.4000000000001
RU:3,Fog:3,42,604.7999999999995,132.20000000000005,204.4000000000001
RU:0,Fog:0,43,619.1999999999995,132.20000000000005,204.4000000000001
RU:1,Fog:1,43,619.1999999999995,132.20000000000005,204.4000000000001
RU:2,Fog:2,43,619.1999999999995,132.20000000000005,204.4000000000001
RU:3,Fog:3,43,619.1999999999995,132.20000000000005,204.4000000000001
RU:0,Fog:0,44,633.5999999999995,132.20000000000005,204.4000000000001
RU:1,Fog:1,44,633.5999999999995,132.20000000000005,204.4000000000001
RU:2,Fog:2,44,633.5999999999995,132.20000000000005,204.4000000000001
RU:3,Fog:3,44,633.5999999999995,132.20000000000005,204.4000000000001
RU:0,Fog:0,45,647.9999999999994,132.20000000000005,204.4000000000001
RU:1,Fog:1,45,647.9999999999994,132.20000000000005,204.4000000000001
RU:2,Fog:2,45,647.9999999999994,132.20000000000005,204.4000000000001
RU:3,Fog:3,45,647.9999999999994,132.20000000000005,204.4000000000001
RU:0,Fog:0,46,662.3999999999994,132.20000000000005,204.4000000000001
RU:1,Fog:1,46,662.3999999999994,132.20000000000005,204.4000000000001
RU:2,Fog:2,46,662.3999999999994,132.20000000000005,204.4000000000001
RU:3,Fog:3,46,662.3999999999994,132.20000000000005,204.4000000000001
RU:0,Fog:0,47,676.7999999999994,132.20000000000005,204.4000000000001
RU:1,Fog:1,47,676.7999999999994,132.20000000000005,204.4000000000001
RU:2,Fog:2,47,676.7999999999994,132.20000000000005,204.4000000000001
RU:3,Fog:3,47,676.7999999999994,132.20000000000005,204.4000000000001
RU:0,Fog:0,48,691.1999999999994,132.20000000000005,204.4000000000001
RU:1,Fog:1,48,691.1999999999994,132.20000000000005,204.4000000000001
RU:2,Fog:2,48,691.1999999999994,132.20000000000005,204.4000000000001
RU:3,Fog:3,48,691.1999999999994,132.20000000000005,204.4000000000001
RU:0,Fog:0,49,705.5999999999993,132.20000000000005,204.4000000000001
RU:1,Fog:1,49,705.5999999999993,132.20000000000005,204.4000000000001
RU:2,Fog:2,49,705.5999999999993,132.20000000000005,204.4000000000001
RU:3,Fog:3,49,705.5999999999993,132.20000000000005,204.4000000000001
RU:0,Fog:0,50,719.9999999999993,132.20000000000005,204.4000000000001
RU:1,Fog:1,50,719.9999999999993,132.20000000000005,204.4000000000001
RU:2,Fog:2,50,719.9999999999993,132.20000000000005,204.4000000000001
RU:3,Fog:3,50,719.9999999999993,132.20000000000005,204.4000000000001
RU:0,Fog:0,51,734.3999999999993,132.20000000000005,204.4000000000001
RU:1,Fog:1,51,734.3999999999993,132.20000000000005,204.4000000000001
RU:2,Fog:2,51,734.3999999999993,132.20000000000005,204.4000000000001
